date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,day_of_week,hour_of_day,is_weekend
2024-01-01,2H 0M 0S,Monday,SHEPPARD STATION,MUI,0,0,N,YU,5491,Monday,2,FALSE
2024-01-01,2H 0M 0S,Monday,DUNDAS STATION,MUIS,0,0,N,YU,0,Monday,2,FALSE
2024-01-01,2H 8M 0S,Monday,DUNDAS STATION,MUPAA,4,10,N,YU,6051,Monday,2,FALSE
2024-01-01,2H 13M 0S,Monday,KENNEDY BD STATION,PUTDN,10,16,E,BD,5284,Monday,2,FALSE
2024-01-01,2H 22M 0S,Monday,BLOOR STATION,MUPAA,4,10,N,YU,5986,Monday,2,FALSE
2024-01-01,2H 25M 0S,Monday,ST CLAIR STATION,MUPAA,3,9,N,YU,6051,Monday,2,FALSE
2024-01-01,2H 25M 0S,Monday,BLOOR STATION,MUIRS,0,0,S,YU,0,Monday,2,FALSE
2024-01-01,2H 27M 0S,Monday,WOODBINE STATION,EUDO,7,13,E,BD,5077,Monday,2,FALSE
2024-01-01,2H 28M 0S,Monday,FINCH STATION,MUIRS,0,0,S,YU,5561,Monday,2,FALSE
2024-01-01,2H 30M 0S,Monday,DAVISVILLE STATION,MUI,13,19,N,YU,6051,Monday,2,FALSE
2024-01-01,2H 36M 0S,Monday,FINCH STATION,MUI,24,30,S,YU,5931,Monday,2,FALSE
2024-01-01,2H 45M 0S,Monday,COLLEGE STATION,MUIR,12,18,N,YU,5816,Monday,2,FALSE
2024-01-01,3H 1M 0S,Monday,LAWRENCE WEST STATION,SUDP,3,9,N,YU,5726,Monday,3,FALSE
2024-01-01,3H 6M 0S,Monday,LAWRENCE WEST STATION,MUIS,0,0,S,YU,0,Monday,3,FALSE
2024-01-01,3H 17M 0S,Monday,VICTORIA PARK STATION,MUIS,0,0,NA,BD,0,Monday,3,FALSE
2024-01-01,3H 31M 0S,Monday,NORTH YORK CTR STATION,MUIRS,0,0,NA,YU,0,Monday,3,FALSE
2024-01-01,3H 50M 0S,Monday,KENNEDY BD STATION,MUIS,0,0,NA,BD,0,Monday,3,FALSE
2024-01-01,5H 26M 0S,Monday,FINCH STATION,SUAE,0,0,NA,YU,0,Monday,5,FALSE
2024-01-01,6H 0M 0S,Monday,KIPLING STATION,MUIS,0,0,NA,BD,0,Monday,6,FALSE
2024-01-01,7H 5M 0S,Monday,DUPONT STATION,MUNCA,0,0,NA,YU,0,Monday,7,FALSE
2024-01-01,7H 57M 0S,Monday,SHEPPARD WEST STATION,TUNOA,12,24,N,YU,0,Monday,7,FALSE
2024-01-01,8H 41M 0S,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0,Monday,8,FALSE
2024-01-01,8H 42M 0S,Monday,SHEPPARD WEST STATION,TUNIP,6,12,N,YU,6016,Monday,8,FALSE
2024-01-01,9H 6M 0S,Monday,COLLEGE STATION,SUO,0,0,S,YU,0,Monday,9,FALSE
2024-01-01,9H 9M 0S,Monday,ST CLAIR STATION,PUOPO,7,13,S,YU,5811,Monday,9,FALSE
2024-01-01,9H 17M 0S,Monday,SUMMERHILL STATION,PUOPO,6,12,S,YU,5811,Monday,9,FALSE
2024-01-01,9H 45M 0S,Monday,QUEEN STATION,SUO,10,16,S,YUS,5601,Monday,9,FALSE
2024-01-01,10H 8M 0S,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0,Monday,10,FALSE
2024-01-01,11H 18M 0S,Monday,QUEEN STATION,SUSA,0,0,N,YU,0,Monday,11,FALSE
2024-01-01,11H 39M 0S,Monday,OLD MILL STATION,TUSC,3,7,E,BD,5291,Monday,11,FALSE
2024-01-01,12H 11M 0S,Monday,SPADINA YUS STATION,MUIR,0,0,N,YU,5732,Monday,12,FALSE
2024-01-01,12H 54M 0S,Monday,ST PATRICK STATION,SUDP,0,0,S,YU,0,Monday,12,FALSE
2024-01-01,13H 24M 0S,Monday,VAUGHAN MC STATION,SUDP,0,0,NA,YU,0,Monday,13,FALSE
2024-01-01,14H 6M 0S,Monday,YONGE BD STATION,MUIR,0,0,E,BD,5284,Monday,14,FALSE
2024-01-01,14H 15M 0S,Monday,BLOOR STATION,MUIR,12,16,N,YU,5631,Monday,14,FALSE
2024-01-01,15H 15M 0S,Monday,LANSDOWNE STATION,MUDD,7,11,E,BD,5164,Monday,15,FALSE
2024-01-01,15H 23M 0S,Monday,ST GEORGE YUS STATION,PUMEL,0,0,NA,YU,0,Monday,15,FALSE
2024-01-01,15H 38M 0S,Monday,COLLEGE STATION,MUPAA,4,8,N,YU,6061,Monday,15,FALSE
2024-01-01,16H 5M 0S,Monday,SPADINA BD STATION,SUDP,0,0,NA,BD,0,Monday,16,FALSE
2024-01-01,16H 20M 0S,Monday,ROSEDALE STATION,SUDP,7,11,S,YU,6086,Monday,16,FALSE
2024-01-01,17H 17M 0S,Monday,BLOOR STATION,SUDP,0,0,S,YU,0,Monday,17,FALSE
2024-01-01,17H 35M 0S,Monday,ROSEDALE STATION,MUPAA,0,0,N,YU,5751,Monday,17,FALSE
2024-01-01,19H 1M 0S,Monday,DUFFERIN STATION,MUIRS,0,0,W,BD,0,Monday,19,FALSE
2024-01-01,19H 54M 0S,Monday,DONLANDS STATION,SUUT,0,0,W,BD,5016,Monday,19,FALSE
2024-01-01,20H 52M 0S,Monday,QUEEN STATION,MUPAA,7,13,S,YU,5861,Monday,20,FALSE
2024-01-01,21H 7M 0S,Monday,KENNEDY BD STATION,MUNOA,6,12,W,BD,5226,Monday,21,FALSE
2024-01-01,22H 0M 0S,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/BD,0,Monday,22,FALSE
2024-01-01,22H 10M 0S,Monday,DUFFERIN STATION,MUIS,0,0,NA,BD,0,Monday,22,FALSE
2024-01-01,22H 13M 0S,Monday,ST GEORGE YUS STATION,SUDP,0,0,S,YU,6601,Monday,22,FALSE
2024-01-01,1M 0S,Monday,GO PROTOCOL - DANFORTH,MUO,0,0,NA,BD,0,Monday,0,FALSE
2024-01-01,44M 0S,Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,6021,Monday,0,FALSE
2024-01-01,48M 0S,Monday,BLOOR STATION,SUO,0,0,S,YU,5776,Monday,0,FALSE
2024-01-01,1H 10M 0S,Monday,VAUGHAN MC STATION,MUO,8,14,S,YU,5921,Monday,1,FALSE
2024-01-01,1H 11M 0S,Monday,DUNDAS STATION,SUO,0,0,S,YU,0,Monday,1,FALSE
2024-01-01,1H 38M 0S,Monday,ST GEORGE YUS STATION,SUUT,0,0,N,YU,5796,Monday,1,FALSE
2024-01-01,1H 46M 0S,Monday,SHEPPARD WEST STATION,SUAE,0,0,NA,YU,0,Monday,1,FALSE
2024-01-02,2H 6M 0S,Tuesday,FINCH STATION,MUIS,0,0,S,YU,0,Tuesday,2,FALSE
2024-01-02,6H 2M 0S,Tuesday,SPADINA BD STATION,TUSC,0,0,E,BD,5176,Tuesday,6,FALSE
2024-01-02,6H 19M 0S,Tuesday,WARDEN STATION,MUIRS,0,0,NA,BD,0,Tuesday,6,FALSE
2024-01-02,6H 42M 0S,Tuesday,ST CLAIR WEST STATION,MUIS,0,0,NA,YU,0,Tuesday,6,FALSE
2024-01-02,6H 53M 0S,Tuesday,CHRISTIE STATION,SUO,0,0,NA,BD,0,Tuesday,6,FALSE
2024-01-02,7H 40M 0S,Tuesday,DAVISVILLE STATION,SUDP,6,9,S,YU,6076,Tuesday,7,FALSE
2024-01-02,7H 45M 0S,Tuesday,ST GEORGE YUS STATION,MUIR,0,0,N,YU,5416,Tuesday,7,FALSE
2024-01-02,7H 47M 0S,Tuesday,BLOOR STATION,SUO,0,0,N,YU,0,Tuesday,7,FALSE
2024-01-02,8H 38M 0S,Tuesday,BLOOR STATION,PUOPO,0,0,N,YU,5811,Tuesday,8,FALSE
2024-01-02,8H 44M 0S,Tuesday,ST CLAIR STATION,PUOPO,6,9,N,YU,5811,Tuesday,8,FALSE
2024-01-02,8H 51M 0S,Tuesday,DUNDAS STATION,MUSAN,3,6,N,YU,5451,Tuesday,8,FALSE
2024-01-02,9H 12M 0S,Tuesday,BROADVIEW STATION,EUME,9,12,W,BD,5004,Tuesday,9,FALSE
2024-01-02,9H 22M 0S,Tuesday,BAY STATION,SUDP,0,0,NA,BD,0,Tuesday,9,FALSE
2024-01-02,9H 33M 0S,Tuesday,FINCH WEST STATION,MUIR,4,7,N,YU,5851,Tuesday,9,FALSE
2024-01-02,10H 38M 0S,Tuesday,ROSEDALE STATION,SUDP,0,0,NA,YU,0,Tuesday,10,FALSE
2024-01-02,11H 13M 0S,Tuesday,CHESTER STATION,SUO,0,0,NA,BD,0,Tuesday,11,FALSE
2024-01-02,11H 48M 0S,Tuesday,QUEEN'S PARK STATION,SUO,0,0,S,YU,5791,Tuesday,11,FALSE
2024-01-02,12H 20M 0S,Tuesday,COLLEGE STATION,SUDP,0,0,NA,YU,0,Tuesday,12,FALSE
2024-01-02,13H 12M 0S,Tuesday,DOWNSVIEW PARK STATION,EUDO,5,10,N,YU,5806,Tuesday,13,FALSE
2024-01-02,13H 42M 0S,Tuesday,ST GEORGE YUS STATION,SUO,3,8,S,YU,5961,Tuesday,13,FALSE
2024-01-02,13H 46M 0S,Tuesday,EGLINTON STATION,MUI,3,8,N,YU,5576,Tuesday,13,FALSE
2024-01-02,13H 55M 0S,Tuesday,KEELE STATION,MUPAA,0,0,E,BD,5021,Tuesday,13,FALSE
2024-01-02,14H 3M 0S,Tuesday,NORTH YORK CTR STATION,SUDP,8,13,S,YU,5481,Tuesday,14,FALSE
2024-01-02,14H 7M 0S,Tuesday,WELLESLEY STATION,SUDP,0,0,NA,YU,0,Tuesday,14,FALSE
2024-01-02,14H 9M 0S,Tuesday,KENNEDY BD STATION,SUAP,0,0,NA,BD,0,Tuesday,14,FALSE
2024-01-02,14H 36M 0S,Tuesday,ST GEORGE YUS STATION,SUDP,21,26,S,YU,6051,Tuesday,14,FALSE
2024-01-02,15H 9M 0S,Tuesday,KIPLING STATION,MUIR,3,6,E,BD,5017,Tuesday,15,FALSE
2024-01-02,15H 12M 0S,Tuesday,MUSEUM STATION,SUDP,8,13,S,YU,5886,Tuesday,15,FALSE
2024-01-02,15H 43M 0S,Tuesday,KEELE STATION,TUNIP,3,6,W,BD,5037,Tuesday,15,FALSE
2024-01-02,15H 54M 0S,Tuesday,DAVISVILLE STATION,MUDD,6,11,N,YU,5441,Tuesday,15,FALSE
2024-01-02,16H 5M 0S,Tuesday,ISLINGTON STATION,TUSC,0,0,E,BD,5307,Tuesday,16,FALSE
2024-01-02,16H 31M 0S,Tuesday,DONLANDS STATION,MUSC,0,0,W,BD,5029,Tuesday,16,FALSE
2024-01-02,16H 32M 0S,Tuesday,PIONEER VILLAGE STATIO,SUO,0,0,S,YU,5551,Tuesday,16,FALSE
2024-01-02,16H 52M 0S,Tuesday,BLOOR STATION,MUIRS,0,0,NA,YU,0,Tuesday,16,FALSE
2024-01-02,16H 53M 0S,Tuesday,BLOOR STATION,SUDP,0,0,N,YU,0,Tuesday,16,FALSE
2024-01-02,18H 0M 0S,Tuesday,WOODBINE STATION,MUSC,0,0,E,BD,5098,Tuesday,18,FALSE
2024-01-02,18H 7M 0S,Tuesday,DUNDAS STATION,MUIS,0,0,NA,YU,0,Tuesday,18,FALSE
2024-01-02,18H 9M 0S,Tuesday,COLLEGE STATION,MUDD,10,13,S,YU,6001,Tuesday,18,FALSE
2024-01-02,18H 38M 0S,Tuesday,BLOOR STATION,SUO,16,20,S,YU,5881,Tuesday,18,FALSE
2024-01-02,18H 41M 0S,Tuesday,YONGE BD STATION,SUO,16,20,W,BD,5063,Tuesday,18,FALSE
2024-01-02,19H 1M 0S,Tuesday,BLOOR STATION,SUO,24,27,N,YU,5961,Tuesday,19,FALSE
2024-01-02,19H 1M 0S,Tuesday,YONGE BD STATION,SUO,24,29,E,BD,5044,Tuesday,19,FALSE
2024-01-02,19H 34M 0S,Tuesday,ROSEDALE STATION,SUO,20,23,S,YU,6016,Tuesday,19,FALSE
2024-01-02,19H 43M 0S,Tuesday,COLLEGE STATION,MUIRS,0,0,NA,YU,0,Tuesday,19,FALSE
2024-01-02,20H 12M 0S,Tuesday,WARDEN STATION,TUO,3,8,W,BD,5212,Tuesday,20,FALSE
2024-01-02,20H 29M 0S,Tuesday,MAIN STREET STATION,SUDP,0,0,NA,BD,0,Tuesday,20,FALSE
2024-01-02,20H 38M 0S,Tuesday,WELLESLEY STATION,MUIRS,0,0,N,YU,5561,Tuesday,20,FALSE
2024-01-02,20H 40M 0S,Tuesday,EGLINTON STATION,SUEAS,9,14,S,YU,6091,Tuesday,20,FALSE
2024-01-02,20H 42M 0S,Tuesday,SHERBOURNE STATION,SUDP,0,0,W,BD,0,Tuesday,20,FALSE
2024-01-02,21H 5M 0S,Tuesday,ST GEORGE BD STATION,SUO,0,0,NA,BD,0,Tuesday,21,FALSE
2024-01-02,21H 5M 0S,Tuesday,YORKDALE STATION,SUO,0,0,S,YU,0,Tuesday,21,FALSE
2024-01-02,21H 9M 0S,Tuesday,DUNDAS WEST STATION,MUIS,0,0,NA,BD,0,Tuesday,21,FALSE
2024-01-02,22H 0M 0S,Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/BD,0,Tuesday,22,FALSE
2024-01-02,22H 8M 0S,Tuesday,SPADINA BD STATION,SUAE,0,0,NA,BD,0,Tuesday,22,FALSE
2024-01-02,22H 52M 0S,Tuesday,DUNDAS WEST STATION,SUDP,0,0,NA,BD,0,Tuesday,22,FALSE
2024-01-02,23H 33M 0S,Tuesday,WARDEN STATION,TUS,4,9,E,BD,5098,Tuesday,23,FALSE
2024-01-02,23H 57M 0S,Tuesday,WELLESLEY STATION,MUIRS,0,0,NA,YU,0,Tuesday,23,FALSE
2024-01-02,23H 59M 0S,Tuesday,WELLESLEY STATION,SUO,0,0,NA,YU,0,Tuesday,23,FALSE
2024-01-02,0S,Tuesday,GREENWOOD YARD,SUO,0,0,NA,BD,0,Tuesday,0,FALSE
2024-01-02,8M 0S,Tuesday,KENNEDY BD STATION,SUDP,5,10,W,BD,5049,Tuesday,0,FALSE
2024-01-02,26M 0S,Tuesday,MAIN STREET STATION,SUDP,0,0,NA,BD,0,Tuesday,0,FALSE
2024-01-02,1H 45M 0S,Tuesday,EGLINTON WEST STATION,SUDP,0,0,NA,YU,0,Tuesday,1,FALSE
2024-01-02,1H 48M 0S,Tuesday,EGLINTON WEST STATION,SUDP,0,0,N,YU,0,Tuesday,1,FALSE
2024-01-02,1H 48M 0S,Tuesday,BROADVIEW STATION,EUVE,11,16,W,BD,0,Tuesday,1,FALSE
2024-01-02,1H 59M 0S,Tuesday,JANE STATION,SUUT,0,0,W,BD,5004,Tuesday,1,FALSE
2024-01-02,5H 27M 0S,Tuesday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6191,Tuesday,5,FALSE
2024-01-02,5H 39M 0S,Tuesday,DON MILLS STATION,MUSC,0,0,W,SHP,6196,Tuesday,5,FALSE
2024-01-02,16H 7M 0S,Tuesday,BAYVIEW STATION,SUDP,4,11,W,SHP,6146,Tuesday,16,FALSE
2024-01-03,2H 42M 0S,Wednesday,VAUGHAN MC STATION,MUIS,0,0,NA,YU,0,Wednesday,2,FALSE
2024-01-03,6H 15M 0S,Wednesday,UNION STATION,MUIS,0,0,NA,YU,0,Wednesday,6,FALSE
2024-01-03,6H 49M 0S,Wednesday,KIPLING STATION,MUIS,0,0,NA,BD,0,Wednesday,6,FALSE
2024-01-03,7H 6M 0S,Wednesday,EGLINTON STATION,MUIE,0,0,NA,YU,0,Wednesday,7,FALSE
2024-01-03,7H 17M 0S,Wednesday,DUNDAS STATION,MUPAA,3,6,S,YU,5796,Wednesday,7,FALSE
2024-01-03,7H 31M 0S,Wednesday,BLOOR STATION,PUMEL,0,0,NA,YU,0,Wednesday,7,FALSE
2024-01-03,7H 46M 0S,Wednesday,BLOOR STATION,MUIRS,0,0,NA,YU,0,Wednesday,7,FALSE
2024-01-03,8H 34M 0S,Wednesday,UNION STATION,SUDP,0,0,N,YU,6125,Wednesday,8,FALSE
2024-01-03,8H 48M 0S,Wednesday,DUNDAS STATION,SUDP,0,0,S,YU,5984,Wednesday,8,FALSE
2024-01-03,11H 31M 0S,Wednesday,WARDEN STATION,SUO,0,0,NA,BD,0,Wednesday,11,FALSE
2024-01-03,11H 32M 0S,Wednesday,VICTORIA PARK STATION,EUCA,4,8,W,BD,5180,Wednesday,11,FALSE
2024-01-03,11H 40M 0S,Wednesday,KENNEDY BD STATION,PUMEL,0,0,NA,BD,0,Wednesday,11,FALSE
2024-01-03,11H 54M 0S,Wednesday,LANSDOWNE STATION,EUSC,0,0,E,BD,5213,Wednesday,11,FALSE
2024-01-03,12H 30M 0S,Wednesday,EGLINTON STATION,TUOS,0,0,S,YU,5796,Wednesday,12,FALSE
2024-01-03,12H 50M 0S,Wednesday,DAVISVILLE STATION,MUSAN,5,10,N,YU,5971,Wednesday,12,FALSE
2024-01-03,12H 55M 0S,Wednesday,SHEPPARD STATION,MUPAA,0,0,N,YU,5976,Wednesday,12,FALSE
2024-01-03,13H 6M 0S,Wednesday,BAY STATION,SUO,0,0,NA,BD,0,Wednesday,13,FALSE
2024-01-03,13H 20M 0S,Wednesday,FINCH STATION,SUAP,0,0,NA,YU,0,Wednesday,13,FALSE
2024-01-03,13H 30M 0S,Wednesday,YONGE BD STATION,MUSAN,9,13,W,BD,5310,Wednesday,13,FALSE
2024-01-03,13H 36M 0S,Wednesday,UNION STATION,SUO,0,0,NA,YU,0,Wednesday,13,FALSE
2024-01-03,14H 34M 0S,Wednesday,BATHURST STATION,SUAP,0,0,NA,BD,0,Wednesday,14,FALSE
2024-01-03,15H 25M 0S,Wednesday,MAIN STREET STATION,SUUT,0,0,E,BD,5168,Wednesday,15,FALSE
2024-01-03,15H 26M 0S,Wednesday,EGLINTON STATION,MUIR,5,10,N,YU,5436,Wednesday,15,FALSE
2024-01-03,15H 35M 0S,Wednesday,BLOOR STATION,SUO,0,0,N,YU,5856,Wednesday,15,FALSE
2024-01-03,15H 37M 0S,Wednesday,YONGE BD STATION,SUO,0,0,W,BD,5259,Wednesday,15,FALSE
2024-01-03,15H 57M 0S,Wednesday,FINCH WEST STATION,PUOPO,0,0,S,YU,5991,Wednesday,15,FALSE
2024-01-03,16H 8M 0S,Wednesday,YONGE BD STATION,SUDP,0,0,NA,BD,0,Wednesday,16,FALSE
2024-01-03,17H 3M 0S,Wednesday,BLOOR STATION,MUIRS,0,0,S,YU,0,Wednesday,17,FALSE
2024-01-03,17H 17M 0S,Wednesday,WELLESLEY STATION,MUIRS,0,0,NA,YU,0,Wednesday,17,FALSE
2024-01-03,17H 23M 0S,Wednesday,LAWRENCE WEST STATION,SUO,0,0,S,YU,6016,Wednesday,17,FALSE
2024-01-03,17H 26M 0S,Wednesday,VICTORIA PARK STATION,SUO,0,0,NA,BD,0,Wednesday,17,FALSE
2024-01-03,17H 30M 0S,Wednesday,SHERBOURNE STATION,MUPR1,26,29,W,BD,5244,Wednesday,17,FALSE
2024-01-03,17H 42M 0S,Wednesday,ROSEDALE STATION,PUSAC,12,15,N,YU,5621,Wednesday,17,FALSE
2024-01-03,17H 52M 0S,Wednesday,WELLESLEY STATION,MUPAA,3,6,N,YU,6061,Wednesday,17,FALSE
2024-01-03,18H 2M 0S,Wednesday,DUFFERIN STATION,SUDP,0,0,NA,BD,0,Wednesday,18,FALSE
2024-01-03,18H 19M 0S,Wednesday,LAWRENCE STATION,SUO,8,11,S,YU,5651,Wednesday,18,FALSE
2024-01-03,18H 27M 0S,Wednesday,LAWRENCE STATION,MUIS,0,0,NA,YU,0,Wednesday,18,FALSE
2024-01-03,19H 16M 0S,Wednesday,FINCH STATION,SUDP,0,0,NA,YU,0,Wednesday,19,FALSE
2024-01-03,19H 34M 0S,Wednesday,DONLANDS STATION,SUO,5,10,W,BD,5004,Wednesday,19,FALSE
2024-01-03,20H 6M 0S,Wednesday,COXWELL STATION,PUMEL,0,0,NA,BD,0,Wednesday,20,FALSE
2024-01-03,20H 10M 0S,Wednesday,VAUGHAN MC STATION,EUPI,43,47,S,YU,6111,Wednesday,20,FALSE
2024-01-03,20H 29M 0S,Wednesday,OSGOODE STATION,SUDP,0,0,NA,YU,0,Wednesday,20,FALSE
2024-01-03,20H 47M 0S,Wednesday,BAY STATION,SUO,4,9,W,BD,5141,Wednesday,20,FALSE
2024-01-03,20H 52M 0S,Wednesday,EGLINTON STATION,PUOPO,4,9,S,YU,5906,Wednesday,20,FALSE
2024-01-03,21H 2M 0S,Wednesday,BLOOR STATION,SUO,6,11,N,YU,5636,Wednesday,21,FALSE
2024-01-03,21H 5M 0S,Wednesday,YONGE BD STATION,SUO,0,0,E,BD,5043,Wednesday,21,FALSE
2024-01-03,21H 32M 0S,Wednesday,DUNDAS STATION,MUIS,0,0,NA,YU,0,Wednesday,21,FALSE
2024-01-03,22H 0M 0S,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/BD,0,Wednesday,22,FALSE
2024-01-03,23H 1M 0S,Wednesday,MAIN STREET STATION,SUO,0,0,NA,BD,0,Wednesday,23,FALSE
2024-01-03,23H 6M 0S,Wednesday,DUNDAS STATION,SUO,0,0,NA,YU,0,Wednesday,23,FALSE
2024-01-03,23H 8M 0S,Wednesday,OSSINGTON STATION,MUIS,0,0,NA,BD,0,Wednesday,23,FALSE
2024-01-03,23H 22M 0S,Wednesday,WARDEN STATION,SUDP,0,0,E,BD,5019,Wednesday,23,FALSE
2024-01-03,23H 44M 0S,Wednesday,BLOOR STATION,SUAP,0,0,S,YU,0,Wednesday,23,FALSE
2024-01-03,13M 0S,Wednesday,FINCH STATION,SUO,0,0,NA,YU,0,Wednesday,0,FALSE
2024-01-03,20M 0S,Wednesday,WILSON STATION,PUOPO,0,0,N,YU,5906,Wednesday,0,FALSE
2024-01-03,24M 0S,Wednesday,SHEPPARD WEST STATION,PUOPO,8,13,N,YU,5906,Wednesday,0,FALSE
2024-01-03,1H 23M 0S,Wednesday,PIONEER VILLAGE STATIO,PUMEL,0,0,NA,YU,0,Wednesday,1,FALSE
2024-01-03,1H 35M 0S,Wednesday,KIPLING STATION,MUTO,3,0,E,BD,5299,Wednesday,1,FALSE
2024-01-03,1H 36M 0S,Wednesday,COLLEGE STATION,MUIRS,0,0,S,YU,0,Wednesday,1,FALSE
2024-01-03,1H 47M 0S,Wednesday,WILSON STATION,MUIS,0,0,NA,YU,0,Wednesday,1,FALSE
2024-01-03,23H 17M 0S,Wednesday,BESSARION STATION,MUPAA,0,0,E,SHP,6191,Wednesday,23,FALSE
2024-01-04,2H 4M 0S,Thursday,ROYAL YORK STATION,SUDP,0,0,NA,BD,0,Thursday,2,FALSE
2024-01-04,2H 39M 0S,Thursday,VAUGHAN MC STATION,MUIS,0,0,NA,YU,0,Thursday,2,FALSE
2024-01-04,6H 13M 0S,Thursday,DAVISVILLE YARD,MUO,0,0,NA,YU,0,Thursday,6,FALSE
2024-01-04,6H 16M 0S,Thursday,ST GEORGE YUS STATION,EUOPO,0,0,N,YU,5651,Thursday,6,FALSE
2024-01-04,6H 52M 0S,Thursday,NORTH YORK CTR STATION,PUOPO,5,8,S,YU,6046,Thursday,6,FALSE
2024-01-04,6H 56M 0S,Thursday,BLOOR STATION,SUAP,0,0,S,YU,5456,Thursday,6,FALSE
2024-01-04,6H 57M 0S,Thursday,BLOOR STATION,MUIS,0,0,NA,YU,0,Thursday,6,FALSE
2024-01-04,6H 58M 0S,Thursday,SHEPPARD STATION,PUOPO,3,6,S,YU,6046,Thursday,6,FALSE
2024-01-04,7H 28M 0S,Thursday,WOODBINE STATION,MUDD,4,7,W,BD,5203,Thursday,7,FALSE
2024-01-04,7H 28M 0S,Thursday,MAIN STREET STATION,MUDD,0,0,W,BD,5203,Thursday,7,FALSE
2024-01-04,7H 45M 0S,Thursday,FINCH STATION,PUOPO,0,0,S,YU,5836,Thursday,7,FALSE
2024-01-04,7H 46M 0S,Thursday,SPADINA YUS STATION,SUDP,6,9,N,YU,5971,Thursday,7,FALSE
2024-01-04,7H 48M 0S,Thursday,NORTH YORK CTR STATION,PUOPO,7,10,S,YU,5836,Thursday,7,FALSE
2024-01-04,7H 55M 0S,Thursday,MAIN STREET STATION,PUSSW,4,7,W,BD,5200,Thursday,7,FALSE
2024-01-04,7H 55M 0S,Thursday,WOODBINE STATION,PUSSW,4,7,E,BD,5134,Thursday,7,FALSE
2024-01-04,8H 3M 0S,Thursday,UNION STATION,PUSRA,9,12,N,YU,5571,Thursday,8,FALSE
2024-01-04,8H 5M 0S,Thursday,COLLEGE STATION,SUO,0,0,NA,YU,0,Thursday,8,FALSE
2024-01-04,8H 10M 0S,Thursday,KIPLING STATION,MUIRS,0,0,NA,BD,0,Thursday,8,FALSE
2024-01-04,8H 21M 0S,Thursday,LAWRENCE STATION,TUO,7,10,N,YU,5881,Thursday,8,FALSE
2024-01-04,8H 31M 0S,Thursday,WARDEN STATION,SUDP,0,0,NA,BD,0,Thursday,8,FALSE
2024-01-04,9H 20M 0S,Thursday,ROSEDALE STATION,MUATC,5,8,N,YU,5976,Thursday,9,FALSE
2024-01-04,9H 30M 0S,Thursday,DUNDAS WEST STATION,TUMVS,8,11,W,BD,5061,Thursday,9,FALSE
2024-01-04,9H 40M 0S,Thursday,KEELE STATION,MUO,0,0,W,BD,5061,Thursday,9,FALSE
2024-01-04,9H 59M 0S,Thursday,EGLINTON STATION,SUEAS,6,11,N,YU,5421,Thursday,9,FALSE
2024-01-04,10H 16M 0S,Thursday,DUNDAS STATION,SUO,5,10,N,YU,5661,Thursday,10,FALSE
2024-01-04,10H 25M 0S,Thursday,DUNDAS WEST STATION,MUIRS,6,10,W,BD,5068,Thursday,10,FALSE
2024-01-04,10H 32M 0S,Thursday,YORK UNIVERSITY STATIO,PUOPO,6,10,S,YU,5811,Thursday,10,FALSE
2024-01-04,10H 38M 0S,Thursday,WILSON STATION,PUOPO,3,6,N,YU,5906,Thursday,10,FALSE
2024-01-04,10H 39M 0S,Thursday,FINCH WEST STATION,PUOPO,4,7,S,YU,5811,Thursday,10,FALSE
2024-01-04,10H 42M 0S,Thursday,SHEPPARD WEST STATION,PUOPO,3,6,N,YU,5906,Thursday,10,FALSE
2024-01-04,10H 59M 0S,Thursday,WARDEN STATION,MUDD,8,12,W,BD,5369,Thursday,10,FALSE
2024-01-04,11H 10M 0S,Thursday,WARDEN STATION,PUSSW,92,96,E,BD,5093,Thursday,11,FALSE
2024-01-04,11H 18M 0S,Thursday,SUMMERHILL STATION,SUO,3,8,S,YU,5956,Thursday,11,FALSE
2024-01-04,11H 35M 0S,Thursday,ROSEDALE STATION,PUSAC,4,9,N,YU,5676,Thursday,11,FALSE
2024-01-04,12H 0M 0S,Thursday,VICTORIA PARK STATION,MUPAA,0,0,E,BD,5096,Thursday,12,FALSE
2024-01-04,12H 18M 0S,Thursday,LANSDOWNE STATION,SUO,0,0,NA,BD,0,Thursday,12,FALSE
2024-01-04,12H 26M 0S,Thursday,ISLINGTON STATION,MUSC,6,10,E,BD,5239,Thursday,12,FALSE
2024-01-04,12H 30M 0S,Thursday,ROSEDALE STATION,PUSAC,4,8,N,YU,5821,Thursday,12,FALSE
2024-01-04,12H 44M 0S,Thursday,ST PATRICK STATION,SUG,0,0,N,YU,5551,Thursday,12,FALSE
2024-01-04,12H 58M 0S,Thursday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5271,Thursday,12,FALSE
2024-01-04,13H 12M 0S,Thursday,LAWRENCE WEST STATION,SUUT,0,0,S,YU,5516,Thursday,13,FALSE
2024-01-04,13H 27M 0S,Thursday,DUFFERIN STATION,MUNCA,0,0,NA,BD,0,Thursday,13,FALSE
